10	0.562	0.260	0.406
18	0.523	0.340	0.404
19	0.673	0.304	0.375
20	0.520	0.292	0.286
50	0.571	0.368	0.439
accueil	0.450	0.451	0.470
cегодня	0.806	0.306	0.362
pissingmeoff	0.208	0.622	0.423
retrieval	0.700	0.440	0.704
tgif	0.542	0.471	0.436
viewing	0.690	0.394	0.598
ааа	0.371	0.530	0.322
аааа	0.520	0.636	0.282
ааааа	0.250	0.618	0.324
аааааааа	0.479	0.606	0.291
абатмент	0.500	0.265	0.616
абба	0.562	0.500	0.480
аббат	0.427	0.321	0.483
аббатство	0.580	0.367	0.444
аберрация	0.125	0.816	0.417
абляция	0.418	0.500	0.500
абонент	0.646	0.615	0.472
абориген	0.448	0.427	0.542
аборт	0.082	0.770	0.283
абразивный	0.392	0.610	0.593
абракадабра	0.673	0.632	0.434
абрикос	0.708	0.320	0.278
абсент	0.481	0.510	0.462
абсолютный	0.526	0.510	0.827
абсорбент	0.552	0.394	0.718
абстракция	0.469	0.439	0.525
абсурд	0.115	0.528	0.227
абсурдный	0.188	0.656	0.284
абсцесс	0.154	0.451	0.349
абы	0.385	0.452	0.368
авангард	0.693	0.640	0.780
аванпост	0.635	0.571	0.675
авантюрист	0.781	0.839	0.868
авария	0.365	0.423	0.361
аватар	0.633	0.410	0.567
август	0.652	0.292	0.462
авиакомпания	0.650	0.482	0.688
авиалайнер	0.667	0.777	0.647
авианосец	0.490	0.740	0.727
авиация	0.708	0.646	0.741
авокадо	0.677	0.255	0.287
авто	0.571	0.569	0.500
автобаза	0.625	0.509	0.500
автобиографический	0.909	0.462	0.582
автобиография	0.735	0.284	0.629
автобус	0.438	0.456	0.396
автограф	0.735	0.565	0.473
автозамена	0.551	0.439	0.616
автократический	0.542	0.577	0.727
автоматизированный	0.578	0.402	0.632
автоматический	0.562	0.433	0.664
автомобилист	0.562	0.663	0.578
автомобиль	0.741	0.577	0.572
автомобильный	0.656	0.520	0.577
автономия	0.781	0.349	0.891
автопилот	0.594	0.462	0.632
автор	0.775	0.343	0.749
авторизация	0.521	0.567	0.817
авторитетный	0.636	0.520	0.890
авторство	0.667	0.635	0.773
автостоп	0.396	0.622	0.385
автостопщик	0.594	0.626	0.603
автострада	0.582	0.639	0.617
ага	0.681	0.559	0.454
агапе	0.612	0.529	0.464
агат	0.540	0.377	0.483
агент	0.480	0.439	0.755
агентство	0.460	0.296	0.583
агломерация	0.450	0.765	0.509
агностик	0.306	0.396	0.574
агония	0.083	0.775	0.393
агорафобия	0.127	0.712	0.438
агрегат	0.730	0.378	0.556
агрегация	0.583	0.517	0.694
агрессивно	0.250	0.926	0.688
агрессивность	0.077	0.913	0.648
агрессивный	0.089	0.946	0.679
агрессия	0.094	0.929	0.533
агрессор	0.146	0.948	0.823
ад	0.035	0.887	0.514
адаптировать	0.740	0.355	0.551
адаптируемый	0.735	0.423	0.641
адвокат	0.553	0.553	0.773
адгезия	0.521	0.445	0.586
адекватный	0.854	0.264	0.705
адепт	0.594	0.539	0.789
административный	0.542	0.415	0.579
администратор	0.613	0.450	0.878
администрация	0.625	0.404	0.786
адмирал	0.844	0.490	0.847
адмиралтейство	0.594	0.547	0.733
адреналин	0.815	0.943	0.805
адрес	0.650	0.327	0.567
адреса	0.510	0.354	0.450
адресат	0.622	0.382	0.538
адский	0.104	0.849	0.558
адъювант	0.510	0.500	0.456
азимут	0.385	0.461	0.421
азот	0.427	0.435	0.562
айва	0.557	0.368	0.474
айсберг	0.344	0.540	0.648
академический	0.781	0.420	0.812
академия	0.704	0.473	0.792
акваланг	0.542	0.494	0.456
аквамарин	0.729	0.306	0.413
аквариум	0.663	0.327	0.393
акведук	0.551	0.411	0.534
аккорд	0.729	0.394	0.539
аккордеон	0.604	0.490	0.361
аккорды	0.639	0.406	0.388
аккредитованный	0.669	0.479	0.768
аккреция	0.448	0.519	0.672
аккуратно	0.802	0.412	0.588
аккуратный	0.827	0.228	0.600
акме	0.408	0.435	0.375
акр	0.583	0.387	0.423
акрил	0.582	0.279	0.420
акробат	0.708	0.828	0.602
акры	0.510	0.363	0.500
аксессуар	0.562	0.292	0.445
аксиома	0.439	0.441	0.583
аксиоматический	0.458	0.392	0.627
актер	0.653	0.561	0.629
актив	0.797	0.765	0.788
активация	0.781	0.800	0.754
активировать	0.764	0.650	0.806
активист	0.561	0.675	0.849
активный	0.820	0.726	0.794
актриса	0.633	0.556	0.596
актуальность	0.730	0.531	0.696
актуальны	0.719	0.608	0.764
актуарий	0.510	0.404	0.491
акула	0.260	0.845	0.596
акустика	0.550	0.424	0.482
акустический	0.542	0.462	0.536
акушер	0.521	0.636	0.604
акушерка	0.531	0.570	0.453
акушерство	0.520	0.576	0.511
акцент	0.625	0.551	0.662
акцепты	0.847	0.413	0.648
акциз	0.448	0.561	0.577
акции	0.573	0.598	0.586
акционер	0.615	0.629	0.816
алгебра	0.440	0.340	0.565
алгебраический	0.531	0.412	0.441
алгоритм	0.448	0.394	0.559
алебастр	0.542	0.404	0.445
алиби	0.396	0.528	0.556
аликвота	0.440	0.310	0.404
алименты	0.612	0.477	0.464
алкалоиды	0.433	0.562	0.402
алкаш	0.406	0.535	0.349
алкоголизм	0.061	0.779	0.407
алкоголик	0.153	0.688	0.361
алкоголь	0.323	0.667	0.377
аллегорический	0.517	0.558	0.598
аллегория	0.615	0.580	0.509
аллегро	0.635	0.627	0.453
аллергический	0.135	0.549	0.273
аллергия	0.296	0.606	0.389
аллигатор	0.386	0.612	0.596
аллилуйя	0.770	0.554	0.657
аллювиальный	0.323	0.490	0.491
алмаз	0.910	0.606	0.769
алоха	0.698	0.440	0.441
алтарь	0.724	0.387	0.635
алфавит	0.562	0.204	0.672
алфавитный	0.537	0.296	0.535
алхимия	0.541	0.583	0.693
алый	0.507	0.390	0.411
альб	0.521	0.380	0.427
альбатрос	0.500	0.445	0.527
альбинос	0.500	0.240	0.358
альбом	0.635	0.349	0.453
альвеолярный	0.469	0.481	0.367
альманах	0.688	0.190	0.412
альпийский	0.594	0.337	0.474
альпинист	0.604	0.745	0.635
альт	0.589	0.432	0.605
альтернатива	0.628	0.373	0.631
альфа	0.708	0.340	0.755
альфонс	0.400	0.706	0.528
альянс	0.696	0.473	0.769
алюминий	0.449	0.280	0.434
амальгама	0.438	0.333	0.510
амаретто	0.543	0.551	0.375
амбиция	0.510	0.804	0.661
амброзия	0.571	0.452	0.480
амбулаторный	0.260	0.400	0.395
аметист	0.622	0.406	0.517
амино-	0.551	0.402	0.433
аминь	0.781	0.182	0.542
аммиак	0.292	0.587	0.409
аммоний	0.354	0.396	0.368
амнезия	0.296	0.330	0.308
амнистия	0.551	0.451	0.814
аморальный	0.143	0.622	0.385
амортизация	0.367	0.531	0.454
аморфный	0.327	0.402	0.349
амперсанд	0.480	0.448	0.483
амплитуда	0.694	0.439	0.692
ампутация	0.100	0.755	0.483
ампутировать	0.092	0.660	0.509
амулет	0.781	0.260	0.630
амфетамины	0.133	0.667	0.526
амфибия	0.453	0.351	0.460
амфитеатр	0.653	0.480	0.545
ана	0.541	0.300	0.314
анаграмма	0.552	0.327	0.449
анаконда	0.146	0.830	0.540
анализ	0.681	0.504	0.649
анализатор	0.625	0.556	0.854
анализировать	0.667	0.462	0.710
аналитик	0.604	0.415	0.755
аналитический	0.645	0.422	0.717
аналог	0.509	0.464	0.511
аналогичный	0.531	0.270	0.500
аналогия	0.510	0.367	0.509
анальный	0.333	0.798	0.334
ананас	0.677	0.316	0.245
анархизм	0.125	0.804	0.623
анархист	0.204	0.700	0.759
анархия	0.146	0.755	0.620
анастомоз	0.375	0.470	0.490
анатомический	0.562	0.442	0.546
анатомия	0.562	0.390	0.571
анафема	0.286	0.490	0.519
анафилактический	0.378	0.588	0.500
ангар	0.490	0.456	0.481
ангел	0.906	0.158	0.704
ангельский	0.927	0.298	0.668
ангиограмма	0.347	0.520	0.465
ангиография	0.378	0.536	0.520
ангора	0.529	0.425	0.405
андеррайтер	0.571	0.327	0.620
андроген	0.255	0.523	0.527
андроид	0.663	0.436	0.500
аневризма	0.115	0.690	0.536
анекдот	0.583	0.529	0.500
анемия	0.188	0.327	0.310
анемон	0.552	0.538	0.327
анестезиолог	0.419	0.224	0.526
анестезия	0.357	0.216	0.433
анестетик	0.399	0.266	0.495
анимация	0.888	0.750	0.549
анимированный	0.823	0.676	0.538
анклав	0.531	0.333	0.580
анналы	0.427	0.610	0.424
аннексия	0.342	0.500	0.555
аннотация	0.521	0.381	0.531
аннуитет	0.521	0.304	0.527
аннулирование	0.153	0.375	0.447
аннулировать	0.273	0.434	0.385
аномалия	0.188	0.538	0.404
аномальный	0.188	0.616	0.388
анонимность	0.469	0.255	0.430
анонимный	0.396	0.291	0.431
ансамбль	0.697	0.418	0.586
антагонизм	0.224	0.618	0.524
антагонист	0.240	0.615	0.700
антагонистический	0.296	0.604	0.565
анте	0.448	0.320	0.417
антенна	0.568	0.394	0.410
анти	0.365	0.412	0.384
антибиотик	0.510	0.373	0.658
антибиотики	0.448	0.406	0.557
антигравитационный	0.430	0.714	0.658
антиквар	0.500	0.233	0.426
антиквариат	0.540	0.370	0.595
антилопа	0.542	0.510	0.500
антиобщественный	0.146	0.686	0.391
антипатия	0.198	0.549	0.393
антисанитария	0.063	0.592	0.269
антисептик	0.438	0.370	0.623
антитеза	0.396	0.412	0.536
антихрист	0.082	0.837	0.544
античный	0.634	0.290	0.518
антология	0.338	0.406	0.537
антракт	0.490	0.360	0.402
антрополог	0.551	0.385	0.725
антропологический	0.367	0.390	0.490
антропология	0.490	0.367	0.582
анус	0.347	0.644	0.350
аорта	0.448	0.510	0.542
аортальный	0.436	0.540	0.438
апартаменты	0.704	0.337	0.443
апатичный	0.188	0.292	0.333
апатия	0.184	0.212	0.204
апач	0.687	0.469	0.500
апельсин	0.646	0.132	0.296
аплодировать	0.841	0.819	0.505
аплодисменты	0.884	0.841	0.631
апломб	0.500	0.509	0.582
апокалипсис	0.050	0.867	0.736
апокалиптический	0.173	0.880	0.750
апологет	0.406	0.429	0.526
апостол	0.646	0.347	0.732
апостольский	0.592	0.300	0.717
апостроф	0.469	0.368	0.537
аппарат	0.375	0.353	0.377
аппендицит	0.031	0.640	0.347
аппендэктомия	0.177	0.670	0.554
апперкот	0.410	0.600	0.550
аппетит	0.704	0.637	0.581
аппетитный	0.806	0.657	0.688
аптека	0.510	0.340	0.530
аптекарь	0.401	0.445	0.473
арахис	0.594	0.248	0.285
арбалет	0.344	0.598	0.560
арбитр	0.473	0.493	0.804
арбитраж	0.528	0.611	0.676
арбуз	0.714	0.230	0.239
аргумент	0.510	0.464	0.698
аргументация	0.479	0.549	0.760
аргументы	0.541	0.602	0.657
арена	0.510	0.235	0.404
аренда	0.505	0.414	0.457
арендатор	0.503	0.387	0.483
арендовать	0.432	0.446	0.496
арендодатель	0.552	0.490	0.623
ареола	0.417	0.396	0.381
арест	0.245	0.446	0.318
арестант	0.240	0.567	0.473
арестовывать	0.146	0.951	0.500
аристократ	0.583	0.413	0.811
аристократический	0.449	0.519	0.676
аристократия	0.688	0.549	0.842
аритмия	0.265	0.706	0.356
арифметика	0.453	0.460	0.634
арка	0.500	0.354	0.468
аркада	0.676	0.521	0.502
арктический	0.615	0.352	0.546
